,Headlines,Valid Source,Source
1742,Smithsonian lays off 237 as covid-19 continues to limit operations,Yes,The Washington Post
1743,Domestic abuse has risen during the pandemic. Groups like the House of Ruth are ready.,Yes,The Washington Post
1744,"Streetcar, soda tax, football subsidies? D.C.’s at-large council candidates debate.",Yes,The Washington Post
1745,"Democrat Cameron Webb is closing in on Republican Bob Good in red Virginia district, analysts say",Yes,The Washington Post
1746,Virginians to vote on proposed amendment for bipartisan redistricting commission,Yes,The Washington Post
1747,"Coyote shot, killed in Rockville after attack on child, two women",Yes,The Washington Post
1748,D.C.-area forecast: Brightening skies today with a refreshing breeze as fall weather settles into the region,Yes,The Washington Post
1749,The best things to do — virtually and in person — while quarantined in the D.C. area,Yes,The Washington Post
1750,Bartees Strange makes some changes,Yes,The Washington Post
1751,Condo set among treetops beckoned garden-loving couple,Yes,The Washington Post
1752,Mortgage rates fall as demand for home loans rises,Yes,The Washington Post
1753,A family’s history is deeply woven into Howard County’s Scaggsville,Yes,The Washington Post
1754,"Amazon says nearly 20,000 employees have caught coronavirus",Yes,The Washington Post
1755,"Pressure mounts on SBA to forgive loans, prevent fraud",Yes,The Washington Post
1756,"Millions of Americans risk losing power and water as massive, unpaid utility bills pile up",Yes,The Washington Post
1757,"Americans might never go back to the office, and Twitter is leading the charge",Yes,The Washington Post
1758,Halloween shops seeing little demand for costumes: ‘I’ve never been this worried’,Yes,The Washington Post
1759,Six new museums that are opening amid the pandemic,Yes,The Washington Post
1760,Trump plan to allow seismic blasts in Atlantic search for oil appears dead,Yes,The Washington Post
1761,"Brett Rypien, Broncos scramble for first win while Adam Gase and the Jets continue to flounder",Yes,The Washington Post
1762,"The Braves finally win a postseason series, ending a streak that was old enough to vote",Yes,The Washington Post
1763,Heat’s injuries threatening to rob the NBA Finals of any drama,Yes,The Washington Post
1764,Doc Rivers agrees to become 76ers coach days after Clippers exit,Yes,The Washington Post
1765,The WNBA Finals will feature two recent MVPs and the top two teams in the league,Yes,The Washington Post
1766,"Kevin Durant, Kyrie Irving see ‘collaborative effort’ with Steve Nash in coaching Nets",Yes,The Washington Post
1767,There has never been a Navy-Air Force football game quite like this,Yes,The Washington Post
1768,Some U.S. employers are finally offering paid parental leave. Working moms with kids at home say they’re afraid to use it.,Yes,The Washington Post
1769,Trump goes to Walter Reed hospital for coronavirus treatment,Yes,The Washington Post
1770,"Stay expected to last several days; move made out of caution, White House says",Yes,The Washington Post
1771,"Kellyanne Conway, two senators, Trump campaign manager test positive",Yes,The Washington Post
1772,"Trump’s infection is part of an ominous national trend as cases increase in 33 states, hospitalizations rise",Yes,The Washington Post
1773,Invincibility punctured by infection: How the coronavirus spread in Trump’s White House,Yes,The Washington Post
1774,Trump seemed to defy the laws of science and disease. Then the virus caught up with him.,Yes,The Washington Post
1775,"Coronavirus and Fox News collide, and Chris Wallace is at the center of it",Yes,The Washington Post
1776,"Trump’s debate guests refused to wear masks, flouting rules",Yes,The Washington Post
1777,The nation needs the truth on President Trump’s illness,Yes,The Washington Post
1778,I’m focused on Trump’s defeat. The rest I am still working on.,Yes,The Washington Post
1779,Trump could learn something from my peewee football coach,Yes,The Washington Post
1780,"I’ve had enough news now, thank you",Yes,The Washington Post
1781,Amy Coney Barrett’s alignment with Scalia has implications far beyond Roe v. Wade,Yes,The Washington Post
1782,The strangest thing about the pandemic is that it isn’t strange anymore,Yes,The Washington Post
1783,How to use services like Uber and Airbnb with social distancing in mind,Yes,The Washington Post
1784,"On Mexico’s Sea of Cortez, a voyage of discovery",Yes,The Washington Post
1785,A pandemic-era ode to every tourist’s guilty pleasure: The gift shop,Yes,The Washington Post
1786,Grand jury audio includes dispute over Breonna Taylor’s last moments,Yes,The Washington Post
1787,Three White House journalists test positive for coronavirus after closely covering Trump,Yes,The Washington Post
1788,Virginia’s rocket launch site is poised to grow with the most successful startup since SpaceX,Yes,The Washington Post
1789,"Justice Dept., FBI plan for possibility of Election Day violence, disruptions",Yes,The Washington Post
1790,The ultimate coronavirus test for the president,Yes,The Washington Post
1791,"We nearly lost our first president to the flu. The country could have died, too.",Yes,The Washington Post
1792,A timeline of Trump’s movements in the days before testing positive,Yes,The Washington Post
1793,"‘Star Wars: Squadrons’ early impressions: Fun to fly, but don’t expect much from the story",Yes,The Washington Post
1794,Early reviews of ‘The Apprentice’ saw through Trump’s failures as a businessman. It didn’t stop the show from being a hit.,Yes,The Washington Post
1795,Final month before Election Day thrown into further uncertainty,Yes,The Washington Post
1796,"Trump’s week started with a dream, but wound up filled with nightmares  ",Yes,The Washington Post
1797,Lawsuit aims to block Texas order limiting ballot drop-off locations,Yes,The Washington Post
1798,President’s positive test for coronavirus forces cancellation of Wis. rally in covid-19 ‘red zone’,Yes,The Washington Post
1799,"Trump threw Saudi Arabia a lifeline after Khashoggi’s death. Two years later, he has gotten little in return.",Yes,The Washington Post
1800,Tropical Storm Gamma forms and is battering Yucatán Peninsula,Yes,The Washington Post
1801,China had mocked Trump for not taking the pandemic seriously. Now it’s very personal.,Yes,The Washington Post
1802,Only one other world leader has caught coronavirus during an election campaign. He went on to win.,Yes,The Washington Post
1803,Macron outlines new law to prevent Islamic ‘separatism’ in France,Yes,The Washington Post
1804,"Boris Johnson, who almost died of covid-19, wishes Trump a ‘speedy recovery’",Yes,The Washington Post
1805,Supreme Court to hear Arizona voting rights case next year,Yes,The Washington Post
1806,"Moms, Black Americans and educators are in trouble as economic recovery slows",Yes,The Washington Post
1807,Remote learning has been a disaster for many students. But some kids have thrived.,Yes,The Washington Post
1808,House members call on FAA to ‘fully reveal the data’ proving the 737 Max is safe to fly,Yes,The Washington Post
1809,Notre Dame faculty who attended White House event await test results amid campus concern ,Yes,The Washington Post
1810,"In a new ruling, judge says census count must continue through October",Yes,The Washington Post
1811,Contact tracing for Northam previews task ahead for Trump tracers,Yes,The Washington Post
1812,How should a premier magnet school boost Black and Latino enrollment? A suggested lottery spurs fierce debate.,Yes,The Washington Post
1813,Region records highest coronavirus count in two weeks after recent declines,Yes,The Washington Post
1814,"Carjackings have spiked in the District, and one was captured on Facebook Live",Yes,The Washington Post
1815,GWU Hospital still recovering from cyberattack on its parent company,Yes,The Washington Post
1816,"Unlike most of the country, Maryland consumers can’t purchase alcohol at grocery stores. That may change soon.",Yes,The Washington Post
1817,"Inside or out, Reveler’s Hour pours on the warmth and the wine",Yes,The Washington Post
1818,Distinguished homes for sale in the D.C. region,Yes,The Washington Post
1819,Portraits of 24 officials who have left the Trump administration,Yes,The Washington Post
1820,Pfizer CEO on the pressures of creating a covid-19 vaccine: ‘What is at stake is beyond imagination’,Yes,The Washington Post
1821,How SNL’s Chloe Fineman became the comedian we need right now,Yes,The Washington Post
1822,This invoice will not be silenced,Yes,The Washington Post
1823,These irreverent greeting cards are written by people who’ve experienced homelessness,Yes,The Washington Post
1824,Their vibe was ‘neither serious nor humorous’,Yes,The Washington Post
1825,Hot new job title in a pandemic: ‘Head of remote work’,Yes,The Washington Post
1826,"Diagnosis for family doctors: Less money, greater hardship, and patients on video",Yes,The Washington Post
1827,Long-delayed Trump administration study finds that climate change threatens polar bears,Yes,The Washington Post
1828,Trump said solving the opioid crisis was a top priority. His drug office’s track record suggests otherwise.,Yes,The Washington Post
1829,Catastrophic effect of 1918 flu may have been aided by peculiar influx of cold air into Europe during WWI,Yes,The Washington Post
1830,"Fearing an overwhelming ‘twindemic,’ governments urged flu shots — and triggered shortages",Yes,The Washington Post
1831,Intimidating Hall of Fame pitcher with a blazing fastball dies at 84,Yes,The Washington Post
1832,"Auburn-Georgia, Alabama-Texas A&M make for an SEC marquee",Yes,The Washington Post
1833,NFL will not ease Titans shutdown until ‘end of the transmission event’ is reached,Yes,The Washington Post
1834,Virginia Tech’s Brock Hoffman off to blazing start after transfer ordeal,Yes,The Washington Post
1835,Fillies are uncommon in Triple Crown races. Why is that?,Yes,The Washington Post
1836,Landon Donovan has always seen the big picture. This week proved it again.,Yes,The Washington Post
1837,"Journalists, beware: This White House can’t be trusted to be truthful about Trump’s health",Yes,The Washington Post
1838,"After Trump’s positive test, conservative media goes after liberal critics — real and imagined",Yes,The Washington Post
1839,Trump has turned disaster flicks into real life. And this one just took a dire turn.,Yes,The Washington Post
1840,"I was always drawn to Mariah Carey’s music. After reading her memoir, I understand why.",Yes,The Washington Post
1841,"A play is birthed online, and I was in the delivery room",Yes,The Washington Post
1842,How ‘Song Exploder’ made the jump from behind-the-scenes music podcast to bingeable Netflix series,Yes,The Washington Post
1843,Independent restaurants urge Senate to pass a relief bill before it’s too late,Yes,The Washington Post
1844,"Frozen pizza deserves a wine pairing, too, and this $9 Italian red is our pick",Yes,The Washington Post
1845,Everything you should and shouldn’t do to stay healthy on a plane,Yes,The Washington Post
1846,A barefoot woman was denied boarding an American Airlines flight. She jumped at agents over the counter.,Yes,The Washington Post
1847,Conflicting statements create uncertainty on status of Trump’s health,Yes,The Washington Post
1848,Medical team suggests president tested positive earlier than initially disclosed,Yes,The Washington Post
1849,"In video, Trump says he expects to ‘be back soon’",Yes,The Washington Post
1850,"As Trump battles coronavirus, no plans for Pence to assume temporary authority, say administration officials",Yes,The Washington Post
1851,How the everyday chaos of reporting on the Trump White House played out for the world to see Saturday,Yes,The Washington Post
1852,An army of doctors. Access to an experimental drug. A special patient gets special care.,Yes,The Washington Post
1853,Some Republicans say party will pay price for ‘stupid’ approach to pandemic,Yes,The Washington Post
1854,White House shows little effort in contact tracing for hundreds potentially exposed to Trump,Yes,The Washington Post
1855,"Their president is hospitalized, but that hasn’t changed their view of the coronavirus",Yes,The Washington Post
1856,Rose Garden event suspected of outbreak alarms D.C. officials,Yes,The Washington Post
1857,The medical briefing on Trump’s health was an insulting exercise in obfuscation,Yes,The Washington Post
1858,How sick is the president? When did he know? Americans need real answers.,Yes,The Washington Post
1859,The plan for governing if multiple leaders are incapacitated: There isn’t one.,Yes,The Washington Post
1860,The White House coronavirus outbreak shows that testing alone is not enough,Yes,The Washington Post
1861,I sat in the front row at the debate. Did Trump infect me with the coronavirus?,Yes,The Washington Post
1862,Inside Room 239: How Alexei Navalny’s aides got crucial poisoning evidence out of Russia,Yes,The Washington Post
1863,"President urges stimulus deal, but obstacles remain",Yes,The Washington Post
1864,"U.S. faces shortage of up to 8 billion meals in next 12 months, leading food bank says",Yes,The Washington Post
1865,"A mentally ill man, a heavily armed teenager and the night Kenosha burned",Yes,The Washington Post
1866,SNL premiere does not hold back on Trump’s covid-19 diagnosis: ‘It’s almost too funny’,Yes,The Washington Post
1867,D.C. Superior Court judge stepped down after questions about sexual assault allegation,Yes,The Washington Post
1868,Rose Garden ceremony attendees who tested positive for coronavirus,Yes,The Washington Post
1869,Trump’s refusal to wear face masks turned them into a sad national symbol,Yes,The Washington Post
1870,Covid-19 makes us think about our mortality. Our brains aren’t designed for that.,Yes,The Washington Post
1871,Coronavirus moves freely in GOP circles as Republicans play loose with health rules,Yes,The Washington Post
1872,"A pandemic, a crushed economy, racial protests and now a president with coronavirus",Yes,The Washington Post
1873,Biden campaign says it will now disclose the result of every coronavirus test,Yes,The Washington Post
1874,Supreme Court opens new term Monday at the center of America’s bitter political divide,Yes,The Washington Post
1875,Pope Francis’s new encyclical is a papal warning about a world going backward,Yes,The Washington Post
1876,The pandemic is an era of protests — and protest restrictions,Yes,The Washington Post
1877,"Months before coronavirus hit Trump’s circle, Iran battled a similar outbreak ",Yes,The Washington Post
1878,China’s mealtime appeal amid food supply worries: Don’t take more than you can eat,Yes,The Washington Post
1879,"Twitter banished the worst QAnon accounts. But more than 93,000 remain on the site, research shows.",Yes,The Washington Post
1880,"Pandemic-related budget cuts leave travelers with rough roads, outdated airports and fewer transit options",Yes,The Washington Post
1881,Lengthy era of rock-bottom interest rates leaving its mark on U.S. economy,Yes,The Washington Post
1882,"Finally, some good news in 2020: U.S. on track for fewest lightning fatalities in single year",Yes,The Washington Post
1883,A ‘ghost town’ for Baltimore’s Preakness Stakes,Yes,The Washington Post
1884,"Trump tested positive for a contagious illness. But for people of color, concerns remain about the one he has already spread.",Yes,The Washington Post
1885,Judge grants Indonesian immigrant arrested on Md. church grounds a temporary reprieve from deportation,Yes,The Washington Post
1886,"Backpack found near Walter Reed being investigated, police say",Yes,The Washington Post
1887,D.C.-area forecast: Several fine fall days ahead; trending warmer into midweek,Yes,The Washington Post
1888,Decision to move Trump to hospital reflects a painful covid-19 lesson: Symptoms can worsen quickly,Yes,The Washington Post
1889,The pandemic poses risks for older doctors. Some are retiring early in response.,Yes,The Washington Post
1890,"In an era of failed governance, the NFL has a chance to show what leadership looks like in how it handles its covid-19 crisis ",Yes,The Washington Post
1891,"NFL Sunday on TV: Russell Wilson takes center stage, Tom Brady is growing comfortable",Yes,The Washington Post
1892,"Filly Swiss Skydiver wins the Preakness Stakes, capping unusual, reconfigured Triple Crown",Yes,The Washington Post
1893,No. 4 Georgia makes a statement with rout of No. 7 Auburn,Yes,The Washington Post
1894,"College football Week 5 winners and losers: TCU, Georgia beat Top 10 foes",Yes,The Washington Post
1895,"Bob Gibson — dazzling, menacing and indefatigable — was the prototype for today’s aces",Yes,The Washington Post
1896,"Virtual memorial for John Thompson includes coaches, former players and Barack Obama",Yes,The Washington Post
1897,Baltimore Museum of Art hopes to raise $65 million by selling Warhol’s ‘Last Supper’ and two other paintings,Yes,The Washington Post
1898,"NSO musicians return to Kennedy Center stage, and bring a welcome lightness",Yes,The Washington Post
1899,There are many Gloria Steinems in ‘The Glorias.’ One of them was my boss.,Yes,The Washington Post
1900,8 recipes to make the most of food scraps that might go to waste,Yes,The Washington Post
1901,This is everywhere you should be sanitizing in your hotel,Yes,The Washington Post
1902,White House reports on Trump’s condition continue to be limited and contradictory,Yes,The Washington Post
1903,Infectious Trump briefly leaves hospital to greet supporters,Yes,The Washington Post
1904,Prospect of Trump’s early hospital discharge mystifies doctors,Yes,The Washington Post
1905,White House physician Sean Conley draws scrutiny for rosy assessments of Trump’s health,Yes,The Washington Post
1906,"Secret Service agents, doctors aghast at Trump’s drive outside hospital",Yes,The Washington Post
1907,Journalists criticize White House’s lack of transparency on Trump’s health and whereabouts,Yes,The Washington Post
1908,Trump’s illness halts campaign just when it needs an October boost,Yes,The Washington Post
1909,National security experts describe a distracted and potentially vulnerable country,Yes,The Washington Post
1910,Positive tests for senators raise doubts about fast-track confirmation of Trump’s Supreme Court choice,Yes,The Washington Post
1911,"At Walter Reed, a loud vigil has the cultish fervor and masklessness of Trump’s rallies",Yes,The Washington Post
1912,Only the Trump team could spin this into even riskier messaging about the virus,Yes,The Washington Post
1913,Presidents don’t get privacy. My father understood that — even when he was shot.,Yes,The Washington Post
1914,"Doctors say Trump may go home Monday. Based on what they’ve told us, that’s a bad idea.",Yes,The Washington Post
1915,The pope’s unexpected election message,Yes,The Washington Post
1916,We may be safe from foreign interference this election. But what about hacking our minds?,Yes,The Washington Post
1917,"Reality smacks Trumpworld, but the bubble remains",Yes,The Washington Post
1918,Full coverage and resources,Yes,The Washington Post
1919,Sign up to get our Coronavirus Updates newsletter,Yes,The Washington Post
1920,Nobel Prize in medicine awarded for discovery of hepatitis C,Yes,The Washington Post
1921,Coronavirus relief deal elusive as Pelosi says Democrats await agreement from the administration,Yes,The Washington Post
1922,"Cases rising sharply in Midwest, Rocky Mountain states",Yes,The Washington Post
1923,"Memorial held outside White House in solemn reminder of more than 200,000 Americans killed by covid-19",Yes,The Washington Post
1924,Some ‘test-free’ colleges drop the SAT and ACT entirely,Yes,The Washington Post
1925,"The Proud Boys were emboldened by Trump’s words. Then, LGBTQ couples reclaimed the group’s hashtag.",Yes,The Washington Post
1926,Texas Attorney General Ken Paxton accused of bribery and abusing his office by 7 top aides,Yes,The Washington Post
1927,‘Do they think ... rules for everybody else do not apply to them?’: Chris Wallace slams Trump’s family for refusing masks at debate,Yes,The Washington Post
1928,Never before published images of men in love between 1850 and 1950,Yes,The Washington Post
1929,"Who can be president? According to the movies, it’s still White men.",Yes,The Washington Post
1930,"In ‘Soulmates,’ science discovers a way to find your perfect match — and opens a world of problems",Yes,The Washington Post
1931,A sexting scandal in the North Carolina Senate race was the last thing Democrats needed,Yes,The Washington Post
1932,How the White House is trying to convince America that Trump’s illness isn’t a big deal,Yes,The Washington Post
1933,"Toomey to retire in 2022, setting up competitive Senate race in Pennsylvania",Yes,The Washington Post
1934,The seven political states of Texas,Yes,The Washington Post
1935,"Overseas, Pentagon chief strikes low profile amid friction at home",Yes,The Washington Post
1936,"In Russia’s Far East, suspected oil leak blamed for killing octopi, sickening surfers",Yes,The Washington Post
1937,The war in the Caucasus could turn into a regional calamity,Yes,The Washington Post
1938,"Three young deaths, a vow to bring justice and a test for Iraq’s new leader",Yes,The Washington Post
1939,"Nicaragua introduces legislation to clamp down on foreign, national media",Yes,The Washington Post
1940,"In race for coronavirus vaccine, Russia ramps up rhetoric to defend Sputnik V",Yes,The Washington Post
1941,Americans say they’re drinking alcohol 14 percent more often in the pandemic,Yes,The Washington Post
1942,"In vote on gerrymandering, Va. Democrats choose between ideals, revenge",Yes,The Washington Post
1943,Maryland and Virginia drivers owe D.C. more than $370 million in outstanding traffic and parking fines,Yes,The Washington Post
1944,"Armed with $1 million, John King launches group to address systemic racism",Yes,The Washington Post
1945,Judge grants Indonesian immigrant arrested at Md. church a temporary reprieve from deportation,Yes,The Washington Post
1946,"Homicide reported in Upper Northwest, D.C. police say",Yes,The Washington Post
1947,D.C.-area forecast: Phenomenally good weather through Friday,Yes,The Washington Post
1948,How musician Stephane Detchou would spend a perfect day in D.C.,Yes,The Washington Post
1949,Can a divorced woman claim ownership of a home she once owned with her deceased ex-husband?,Yes,The Washington Post
1950,"Four-bedroom, two-bathroom house in Upper Marlboro, Md., lists for $368,500",Yes,The Washington Post
1951,Global markets rebound after Trump signals optimism on coronavirus recovery,Yes,The Washington Post
1952,Still haven’t gotten your stimulus payment? Here’s why you may not get it until 2021 — or at all.,Yes,The Washington Post
1953,U.S. exporters struggle to gain ground as global recession remains severe,Yes,The Washington Post
1954,"Beautiful, perk-filled and mostly empty: What the future holds for tech’s billion-dollar headquarters",Yes,The Washington Post
1955,I got an inept diagnosis for a neurological problem. I’m a neurologist.,Yes,The Washington Post
1956,"Fair skies, foul balls: How weather influences baseball",Yes,The Washington Post
1957,Covid-19 makes us think about our mortality. Our brains aren’t built for that.,Yes,The Washington Post
1958,1918 flu may have been aided by influx of cold air into Europe during WWI,Yes,The Washington Post
1959,Jimmy Butler knocked the arrogance out of the Lakers and may have rescued these NBA Finals,Yes,The Washington Post
1960,"What to know from NFL Week 4: As coronavirus looms, Cowboys struggle and Odell Beckham stars",Yes,The Washington Post
1961,How awful is the NFC East? The Eagles’ first win put them in first place.,Yes,The Washington Post
1962,"Tom Brady throws five touchdowns in win, Dak Prescott’s big game wasted in NFL Week 4",Yes,The Washington Post
1963,"Washington loses to Ravens, 31-17, drops to 1-3 on the season",Yes,The Washington Post
1964,Ron Rivera’s cancer fight is bigger than football. His example benefits us all.,Yes,The Washington Post
1965,Founder of the free-spirited fashion house Kenzo dies at 81,Yes,The Washington Post
1966,This White House can’t be trusted to be truthful about Trump’s health,Yes,The Washington Post
1967,"In this chaotic pandemic, I weave together some type of order by restoring old chairs",Yes,The Washington Post
1968,Carolyn Hax: Boyfriend’s drinking is a dealbreaker,Yes,The Washington Post
1969,Ask Amy: Friend is worried about pal’s abusive marriage,Yes,The Washington Post
1970,Miss Manners: Correcting behavior without wasting your time,Yes,The Washington Post
1971,Some U.S. employers are finally offering paid parental leave. Working moms with kids at home say they’re afraid to use it.    ,Yes,The Washington Post
1972,Here’s how I create safe spaces for myself and other Black women,Yes,The Washington Post
1973,SNL premiere does not hold back on jokes about Trump’s coronavirus diagnosis: ‘It’s almost too funny’,Yes,The Washington Post
1974,A sweet potato and mushroom quesadilla-pizza mash-up that’ll surprise you,Yes,The Washington Post
0,   America Is Broken  ,Yes,The Atlantic
1,   The Virus Is Coming From Inside the White House  ,Yes,The Atlantic
2,   Dear Therapist: My Boyfriend Wants Me to Destroy My Precious Scrapbook From My First Marriage  ,Yes,The Atlantic
3,   Why We’re Afraid of Bats  ,Yes,The Atlantic
4,   Three Interpretations of Trump’s Tax Records  ,Yes,The Atlantic
5,   How Chile Got Rid of Pinochet  ,Yes,The Atlantic
6,   The Future of Chinese Power  ,Yes,The Atlantic
7,   Trump Didn’t Even Try to Keep His Own People Safe  ,Yes,The Atlantic
8,   California: Images of the Golden State  ,Yes,The Atlantic
9,  Saturday Night Live Misunderstands Its Role Right Now  ,Yes,The Atlantic
10,   Praying on a 707  ,Yes,The Atlantic
11,   The Reckless Race to Confirm Amy Coney Barrett Justifies Court Packing  ,Yes,The Atlantic
12,   Saving Uighur Culture From Genocide  ,Yes,The Atlantic
13,"   Suddenly, Amy Coney Barrett Might Not Have the Votes  ",Yes,The Atlantic
14,   The President Is Not Well  ,Yes,The Atlantic
15,   Trump Thought He’d Never Get It  ,Yes,The Atlantic
16,   Trump Is a Super-Spreader of Disinformation  ,Yes,The Atlantic
17,   It May Be Time to Invoke the Twenty-Fifth Amendment  ,Yes,The Atlantic
18,   How an Anti-Shutdown Celebrity Is Made  ,Yes,The Atlantic
19,   What Bolsonaro’s COVID-19 Case Tells Us About Trump’s  ,Yes,The Atlantic
20,   The Small Business Recovery  ,Yes,The Atlantic
21,Prologue,Yes,The Atlantic
23,Episode 88,Yes,The Atlantic
24, How Bad Will Winter Get? ,Yes,The Atlantic
25,Episode 24,Yes,The Atlantic
26, Howie Hawkins ,Yes,The Atlantic
27,Politics,Yes,The Atlantic
28,Culture,Yes,The Atlantic
29,Technology,Yes,The Atlantic
30,Ideas,Yes,The Atlantic
31,Science,Yes,The Atlantic
32,Books,Yes,The Atlantic
33,Family,Yes,The Atlantic
34,Business,Yes,The Atlantic
35,Global,Yes,The Atlantic
36,Health,Yes,The Atlantic
37,Education,Yes,The Atlantic
38,Letters,Yes,The Atlantic
0,   The Molecular Biologist Who Exposed the Soviet Union  ,Yes,The Atlantic
1,   The Unsinkable Boris Johnson  ,Yes,The Atlantic
2,   The Mainstreaming of Osteopathic Medicine  ,Yes,The Atlantic
3,   Why the ‘Free Britney’ Saga Feels So Familiar  ,Yes,The Atlantic
4,   The Higher Purpose of Home Improvement  ,Yes,The Atlantic
5,   A Citizen’s Guide to Defending the Election  ,Yes,The Atlantic
6,   The Chaos Chronicles  ,Yes,The Atlantic
7,   The President’s Case for Tax Reform  ,Yes,The Atlantic
8,  The Atlantic Daily: The Truth About the Trump Cluster  ,Yes,The Atlantic
9,   The People Trump Came Home To  ,Yes,The Atlantic
10,  Emily in Paris Is an Irresistible Fantasy  ,Yes,The Atlantic
11,   Now Comes the Reckoning  ,Yes,The Atlantic
12,   A Sexting Scandal Puts a Politician in the Hot Seat  ,Yes,The Atlantic
13,   What It’s Like to Meet a Friend You Know Only From Video Games  ,Yes,The Atlantic
14,   The Feckless King  ,Yes,The Atlantic
15,   America Is Having a Moral Convulsion  ,Yes,The Atlantic
19,"   Do Trump’s Taxes Show He’s a Failure, a Cheat, or a Criminal?  ",Yes,The Atlantic
0,   What Earth Owes to Black Holes  ,Yes,The Atlantic
1,   Kamala Harris and the ‘Other 1 Percent’  ,Yes,The Atlantic
2,   The Creepy Trump Meme Taking Over Twitter  ,Yes,The Atlantic
3,   A Debate Between the Republican Past and the Democratic Future  ,Yes,The Atlantic
4,   Courts Are Taking Away One of Americans’ Best Options for Fixing Voting  ,Yes,The Atlantic
5,   The Man Who Wanted to Save the First Amendment by Inverting It  ,Yes,The Atlantic
6,   A Warning From Michigan  ,Yes,The Atlantic
7,   Trump’s Version of Poll Watching Sounds Like Thuggery  ,Yes,The Atlantic
8,   Why the Trump Administration Doesn’t Want to Help  ,Yes,The Atlantic
9,   Kamala Harris’s Ambition Trap  ,Yes,The Atlantic
10,   The November Surprise  ,Yes,The Atlantic
11,   Donald Trump’s Gold-Plated Health Care  ,Yes,The Atlantic
12,  The Atlantic Daily: The Spokesman in the White Suit  ,Yes,The Atlantic
13,   The Complicit Physician  ,Yes,The Atlantic
14,   Deadly Flooding in Southeastern France  ,Yes,The Atlantic
15,   Trump Takes Off the Mask  ,Yes,The Atlantic
16,   Theaters Needed James Bond to Rescue Them. Now What?  ,Yes,The Atlantic
17,   Il Donald  ,Yes,The Atlantic
19,   Boris Johnson Keeps Defying Gravity  ,Yes,The Atlantic
0,   The U.S. Used to Write the Rules—Now China Does  ,Yes,The Atlantic
1,   Still Falling for It  ,Yes,The Atlantic
2,   Why Liberals Feign Powerlessness  ,Yes,The Atlantic
3,   The Rose Garden Experiment  ,Yes,The Atlantic
4,   How to Protect Your Happiness This Election Season  ,Yes,The Atlantic
5,   Lessons From Defeating the Far Right  ,Yes,The Atlantic
6,   The Coddling of the American President  ,Yes,The Atlantic
7,"   Without Trump Onstage, There Is No Chaos  ",Yes,The Atlantic
8,   The Man Who Pretended Not to Notice  ,Yes,The Atlantic
9,  The Atlantic Daily: What’s at Stake in the Pence-Harris Debate  ,Yes,The Atlantic
10,   Why Kamala Harris Is Still Showing Up Tonight  ,Yes,The Atlantic
0,   A Breezy Netflix Comedy About Not Knowing What to Do With Your Life  ,Yes,The Atlantic
1,   The Struggle to Save City Trees  ,Yes,The Atlantic
2,   Atlas Coughed  ,Yes,The Atlantic
3,   What’s So Great About a Written Constitution?  ,Yes,The Atlantic
4,   Schools Aren’t Super-Spreaders  ,Yes,The Atlantic
5,   Our Consensus Reality Has Shattered  ,Yes,The Atlantic
6,   Hillary Clinton Says She Was Right All Along  ,Yes,The Atlantic
7,   How a Bizarre Claim About Masks Has Lived on for Months  ,Yes,The Atlantic
8,"   Photos of the Week: Paris Vaults, Jakarta Protests, Border Reflections  ",Yes,The Atlantic
9,  The Atlantic Daily: The Week in Politics  ,Yes,The Atlantic
10,   ‘I’m Aware of Everything That I Need to Do to Remove This Evil’  ,Yes,The Atlantic
11,   Kamala Harris Claims Her Power  ,Yes,The Atlantic
12,   Where Harris Succeeded and Pence Failed  ,Yes,The Atlantic
13,   Biden and Harris Need an Answer on Court Packing  ,Yes,The Atlantic
14,   How China Outsmarted the Trump Administration  ,Yes,The Atlantic
15,   Why Americans Fall for Grifters  ,Yes,The Atlantic
16,   Why Liberals Pretend They Have No Power  ,Yes,The Atlantic
17,"   Go Ahead, Laugh at Their Expense  ",Yes,The Atlantic
18,   Reading Too Much Political News Is Bad for Your Well-Being  ,Yes,The Atlantic
19,   How to Beat the Nazis in 2020  ,Yes,The Atlantic
20,   People v. Cancer: Equity in Care  ,Yes,The Atlantic
23,Episode 26,Yes,The Atlantic
24, Hillary Clinton ,Yes,The Atlantic
0,   The Most Isolated Place in Alaska  ,Yes,The Atlantic
1,   Reading Thomas Jefferson’s Bible  ,Yes,The Atlantic
2,   The Many Beginnings of Louise Glück  ,Yes,The Atlantic
3,   The Constitution Is On Pause in America’s Courtrooms  ,Yes,The Atlantic
4,   What Joe Can Learn From Ike  ,Yes,The Atlantic
5,   Trump’s Very Ordinary Indifference to the Common Good  ,Yes,The Atlantic
6,   Taiwan Is the Next Front in the U.S.-China Standoff  ,Yes,The Atlantic
7,  The Atlantic Daily: A Nonpolitical Reading List  ,Yes,The Atlantic
8,   Republicans Are Suddenly Afraid of Democracy  ,Yes,The Atlantic
9,   The Mad Genius of Eddie Van Halen  ,Yes,The Atlantic
10,   What Strength Really Means When You’re Sick  ,Yes,The Atlantic
11,   The Books Briefing: The Writers Whom History Forgot  ,Yes,The Atlantic
12,   The President’s Latest Silver Bullet  ,Yes,The Atlantic
13,   Why Trump’s Rapid-Testing Plan Worries Scientists  ,Yes,The Atlantic
15,   Trees Are Time Machines  ,Yes,The Atlantic
0,About,Yes,Axios
1,Subscribe,Yes,Axios
18,"Axios gets you smarter, faster with news & information that matters.",Yes,Axios
