Headlines,Valid Source,Source
Grand jury audio includes dispute over Breonna Taylor’s last moments,Yes,The Washington Post
Three White House journalists test positive for coronavirus after closely covering Trump,Yes,The Washington Post
Virginia’s rocket launch site is poised to grow with the most successful startup since SpaceX,Yes,The Washington Post
"Justice Dept., FBI plan for possibility of Election Day violence, disruptions",Yes,The Washington Post
The ultimate coronavirus test for the president,Yes,The Washington Post
"We nearly lost our first president to the flu. The country could have died, too.",Yes,The Washington Post
A timeline of Trump’s movements in the days before testing positive,Yes,The Washington Post
"‘Star Wars: Squadrons’ early impressions: Fun to fly, but don’t expect much from the story",Yes,The Washington Post
Early reviews of ‘The Apprentice’ saw through Trump’s failures as a businessman. It didn’t stop the show from being a hit.,Yes,The Washington Post
Final month before Election Day thrown into further uncertainty,Yes,The Washington Post
"Trump’s week started with a dream, but wound up filled with nightmares  ",Yes,The Washington Post
Lawsuit aims to block Texas order limiting ballot drop-off locations,Yes,The Washington Post
President’s positive test for coronavirus forces cancellation of Wis. rally in covid-19 ‘red zone’,Yes,The Washington Post
"Trump threw Saudi Arabia a lifeline after Khashoggi’s death. Two years later, he has gotten little in return.",Yes,The Washington Post
Tropical Storm Gamma forms and is battering Yucatán Peninsula,Yes,The Washington Post
China had mocked Trump for not taking the pandemic seriously. Now it’s very personal.,Yes,The Washington Post
Only one other world leader has caught coronavirus during an election campaign. He went on to win.,Yes,The Washington Post
Macron outlines new law to prevent Islamic ‘separatism’ in France,Yes,The Washington Post
"Boris Johnson, who almost died of covid-19, wishes Trump a ‘speedy recovery’",Yes,The Washington Post
Supreme Court to hear Arizona voting rights case next year,Yes,The Washington Post
"Moms, Black Americans and educators are in trouble as economic recovery slows",Yes,The Washington Post
Remote learning has been a disaster for many students. But some kids have thrived.,Yes,The Washington Post
House members call on FAA to ‘fully reveal the data’ proving the 737 Max is safe to fly,Yes,The Washington Post
Notre Dame faculty who attended White House event await test results amid campus concern ,Yes,The Washington Post
"In a new ruling, judge says census count must continue through October",Yes,The Washington Post
Contact tracing for Northam previews task ahead for Trump tracers,Yes,The Washington Post
How should a premier magnet school boost Black and Latino enrollment? A suggested lottery spurs fierce debate.,Yes,The Washington Post
Region records highest coronavirus count in two weeks after recent declines,Yes,The Washington Post
"Carjackings have spiked in the District, and one was captured on Facebook Live",Yes,The Washington Post
GWU Hospital still recovering from cyberattack on its parent company,Yes,The Washington Post
"Unlike most of the country, Maryland consumers can’t purchase alcohol at grocery stores. That may change soon.",Yes,The Washington Post
"Inside or out, Reveler’s Hour pours on the warmth and the wine",Yes,The Washington Post
Distinguished homes for sale in the D.C. region,Yes,The Washington Post
Portraits of 24 officials who have left the Trump administration,Yes,The Washington Post
Pfizer CEO on the pressures of creating a covid-19 vaccine: ‘What is at stake is beyond imagination’,Yes,The Washington Post
How SNL’s Chloe Fineman became the comedian we need right now,Yes,The Washington Post
This invoice will not be silenced,Yes,The Washington Post
These irreverent greeting cards are written by people who’ve experienced homelessness,Yes,The Washington Post
Their vibe was ‘neither serious nor humorous’,Yes,The Washington Post
Hot new job title in a pandemic: ‘Head of remote work’,Yes,The Washington Post
"Diagnosis for family doctors: Less money, greater hardship, and patients on video",Yes,The Washington Post
Long-delayed Trump administration study finds that climate change threatens polar bears,Yes,The Washington Post
Trump said solving the opioid crisis was a top priority. His drug office’s track record suggests otherwise.,Yes,The Washington Post
Catastrophic effect of 1918 flu may have been aided by peculiar influx of cold air into Europe during WWI,Yes,The Washington Post
"Fearing an overwhelming ‘twindemic,’ governments urged flu shots — and triggered shortages",Yes,The Washington Post
Intimidating Hall of Fame pitcher with a blazing fastball dies at 84,Yes,The Washington Post
"Auburn-Georgia, Alabama-Texas A&M make for an SEC marquee",Yes,The Washington Post
NFL will not ease Titans shutdown until ‘end of the transmission event’ is reached,Yes,The Washington Post
Virginia Tech’s Brock Hoffman off to blazing start after transfer ordeal,Yes,The Washington Post
Fillies are uncommon in Triple Crown races. Why is that?,Yes,The Washington Post
Landon Donovan has always seen the big picture. This week proved it again.,Yes,The Washington Post
"Journalists, beware: This White House can’t be trusted to be truthful about Trump’s health",Yes,The Washington Post
"After Trump’s positive test, conservative media goes after liberal critics — real and imagined",Yes,The Washington Post
Trump has turned disaster flicks into real life. And this one just took a dire turn.,Yes,The Washington Post
"I was always drawn to Mariah Carey’s music. After reading her memoir, I understand why.",Yes,The Washington Post
"A play is birthed online, and I was in the delivery room",Yes,The Washington Post
How ‘Song Exploder’ made the jump from behind-the-scenes music podcast to bingeable Netflix series,Yes,The Washington Post
Independent restaurants urge Senate to pass a relief bill before it’s too late,Yes,The Washington Post
"Frozen pizza deserves a wine pairing, too, and this $9 Italian red is our pick",Yes,The Washington Post
Everything you should and shouldn’t do to stay healthy on a plane,Yes,The Washington Post
A barefoot woman was denied boarding an American Airlines flight. She jumped at agents over the counter.,Yes,The Washington Post
Conflicting statements create uncertainty on status of Trump’s health,Yes,The Washington Post
Medical team suggests president tested positive earlier than initially disclosed,Yes,The Washington Post
"In video, Trump says he expects to ‘be back soon’",Yes,The Washington Post
"As Trump battles coronavirus, no plans for Pence to assume temporary authority, say administration officials",Yes,The Washington Post
How the everyday chaos of reporting on the Trump White House played out for the world to see Saturday,Yes,The Washington Post
An army of doctors. Access to an experimental drug. A special patient gets special care.,Yes,The Washington Post
Some Republicans say party will pay price for ‘stupid’ approach to pandemic,Yes,The Washington Post
White House shows little effort in contact tracing for hundreds potentially exposed to Trump,Yes,The Washington Post
"Their president is hospitalized, but that hasn’t changed their view of the coronavirus",Yes,The Washington Post
Rose Garden event suspected of outbreak alarms D.C. officials,Yes,The Washington Post
The medical briefing on Trump’s health was an insulting exercise in obfuscation,Yes,The Washington Post
How sick is the president? When did he know? Americans need real answers.,Yes,The Washington Post
The plan for governing if multiple leaders are incapacitated: There isn’t one.,Yes,The Washington Post
The White House coronavirus outbreak shows that testing alone is not enough,Yes,The Washington Post
I sat in the front row at the debate. Did Trump infect me with the coronavirus?,Yes,The Washington Post
Inside Room 239: How Alexei Navalny’s aides got crucial poisoning evidence out of Russia,Yes,The Washington Post
"President urges stimulus deal, but obstacles remain",Yes,The Washington Post
"U.S. faces shortage of up to 8 billion meals in next 12 months, leading food bank says",Yes,The Washington Post
"A mentally ill man, a heavily armed teenager and the night Kenosha burned",Yes,The Washington Post
SNL premiere does not hold back on Trump’s covid-19 diagnosis: ‘It’s almost too funny’,Yes,The Washington Post
D.C. Superior Court judge stepped down after questions about sexual assault allegation,Yes,The Washington Post
Rose Garden ceremony attendees who tested positive for coronavirus,Yes,The Washington Post
Trump’s refusal to wear face masks turned them into a sad national symbol,Yes,The Washington Post
Covid-19 makes us think about our mortality. Our brains aren’t designed for that.,Yes,The Washington Post
Coronavirus moves freely in GOP circles as Republicans play loose with health rules,Yes,The Washington Post
"A pandemic, a crushed economy, racial protests and now a president with coronavirus",Yes,The Washington Post
Biden campaign says it will now disclose the result of every coronavirus test,Yes,The Washington Post
Supreme Court opens new term Monday at the center of America’s bitter political divide,Yes,The Washington Post
Pope Francis’s new encyclical is a papal warning about a world going backward,Yes,The Washington Post
The pandemic is an era of protests — and protest restrictions,Yes,The Washington Post
"Months before coronavirus hit Trump’s circle, Iran battled a similar outbreak ",Yes,The Washington Post
China’s mealtime appeal amid food supply worries: Don’t take more than you can eat,Yes,The Washington Post
"Twitter banished the worst QAnon accounts. But more than 93,000 remain on the site, research shows.",Yes,The Washington Post
"Pandemic-related budget cuts leave travelers with rough roads, outdated airports and fewer transit options",Yes,The Washington Post
Lengthy era of rock-bottom interest rates leaving its mark on U.S. economy,Yes,The Washington Post
"Finally, some good news in 2020: U.S. on track for fewest lightning fatalities in single year",Yes,The Washington Post
A ‘ghost town’ for Baltimore’s Preakness Stakes,Yes,The Washington Post
"Trump tested positive for a contagious illness. But for people of color, concerns remain about the one he has already spread.",Yes,The Washington Post
Judge grants Indonesian immigrant arrested on Md. church grounds a temporary reprieve from deportation,Yes,The Washington Post
"Backpack found near Walter Reed being investigated, police say",Yes,The Washington Post
D.C.-area forecast: Several fine fall days ahead; trending warmer into midweek,Yes,The Washington Post
Decision to move Trump to hospital reflects a painful covid-19 lesson: Symptoms can worsen quickly,Yes,The Washington Post
The pandemic poses risks for older doctors. Some are retiring early in response.,Yes,The Washington Post
"In an era of failed governance, the NFL has a chance to show what leadership looks like in how it handles its covid-19 crisis ",Yes,The Washington Post
"NFL Sunday on TV: Russell Wilson takes center stage, Tom Brady is growing comfortable",Yes,The Washington Post
"Filly Swiss Skydiver wins the Preakness Stakes, capping unusual, reconfigured Triple Crown",Yes,The Washington Post
No. 4 Georgia makes a statement with rout of No. 7 Auburn,Yes,The Washington Post
"College football Week 5 winners and losers: TCU, Georgia beat Top 10 foes",Yes,The Washington Post
"Bob Gibson — dazzling, menacing and indefatigable — was the prototype for today’s aces",Yes,The Washington Post
"Virtual memorial for John Thompson includes coaches, former players and Barack Obama",Yes,The Washington Post
Baltimore Museum of Art hopes to raise $65 million by selling Warhol’s ‘Last Supper’ and two other paintings,Yes,The Washington Post
"NSO musicians return to Kennedy Center stage, and bring a welcome lightness",Yes,The Washington Post
There are many Gloria Steinems in ‘The Glorias.’ One of them was my boss.,Yes,The Washington Post
8 recipes to make the most of food scraps that might go to waste,Yes,The Washington Post
This is everywhere you should be sanitizing in your hotel,Yes,The Washington Post
White House reports on Trump’s condition continue to be limited and contradictory,Yes,The Washington Post
Infectious Trump briefly leaves hospital to greet supporters,Yes,The Washington Post
Prospect of Trump’s early hospital discharge mystifies doctors,Yes,The Washington Post
White House physician Sean Conley draws scrutiny for rosy assessments of Trump’s health,Yes,The Washington Post
"Secret Service agents, doctors aghast at Trump’s drive outside hospital",Yes,The Washington Post
Journalists criticize White House’s lack of transparency on Trump’s health and whereabouts,Yes,The Washington Post
Trump’s illness halts campaign just when it needs an October boost,Yes,The Washington Post
National security experts describe a distracted and potentially vulnerable country,Yes,The Washington Post
Positive tests for senators raise doubts about fast-track confirmation of Trump’s Supreme Court choice,Yes,The Washington Post
"At Walter Reed, a loud vigil has the cultish fervor and masklessness of Trump’s rallies",Yes,The Washington Post
Only the Trump team could spin this into even riskier messaging about the virus,Yes,The Washington Post
Presidents don’t get privacy. My father understood that — even when he was shot.,Yes,The Washington Post
"Doctors say Trump may go home Monday. Based on what they’ve told us, that’s a bad idea.",Yes,The Washington Post
The pope’s unexpected election message,Yes,The Washington Post
We may be safe from foreign interference this election. But what about hacking our minds?,Yes,The Washington Post
"Reality smacks Trumpworld, but the bubble remains",Yes,The Washington Post
Full coverage and resources,Yes,The Washington Post
Sign up to get our Coronavirus Updates newsletter,Yes,The Washington Post
Nobel Prize in medicine awarded for discovery of hepatitis C,Yes,The Washington Post
Coronavirus relief deal elusive as Pelosi says Democrats await agreement from the administration,Yes,The Washington Post
"Cases rising sharply in Midwest, Rocky Mountain states",Yes,The Washington Post
"Memorial held outside White House in solemn reminder of more than 200,000 Americans killed by covid-19",Yes,The Washington Post
Some ‘test-free’ colleges drop the SAT and ACT entirely,Yes,The Washington Post
"The Proud Boys were emboldened by Trump’s words. Then, LGBTQ couples reclaimed the group’s hashtag.",Yes,The Washington Post
Texas Attorney General Ken Paxton accused of bribery and abusing his office by 7 top aides,Yes,The Washington Post
‘Do they think ... rules for everybody else do not apply to them?’: Chris Wallace slams Trump’s family for refusing masks at debate,Yes,The Washington Post
Never before published images of men in love between 1850 and 1950,Yes,The Washington Post
"Who can be president? According to the movies, it’s still White men.",Yes,The Washington Post
"In ‘Soulmates,’ science discovers a way to find your perfect match — and opens a world of problems",Yes,The Washington Post
A sexting scandal in the North Carolina Senate race was the last thing Democrats needed,Yes,The Washington Post
How the White House is trying to convince America that Trump’s illness isn’t a big deal,Yes,The Washington Post
"Toomey to retire in 2022, setting up competitive Senate race in Pennsylvania",Yes,The Washington Post
The seven political states of Texas,Yes,The Washington Post
"Overseas, Pentagon chief strikes low profile amid friction at home",Yes,The Washington Post
"In Russia’s Far East, suspected oil leak blamed for killing octopi, sickening surfers",Yes,The Washington Post
The war in the Caucasus could turn into a regional calamity,Yes,The Washington Post
"Three young deaths, a vow to bring justice and a test for Iraq’s new leader",Yes,The Washington Post
"Nicaragua introduces legislation to clamp down on foreign, national media",Yes,The Washington Post
"In race for coronavirus vaccine, Russia ramps up rhetoric to defend Sputnik V",Yes,The Washington Post
Americans say they’re drinking alcohol 14 percent more often in the pandemic,Yes,The Washington Post
"In vote on gerrymandering, Va. Democrats choose between ideals, revenge",Yes,The Washington Post
Maryland and Virginia drivers owe D.C. more than $370 million in outstanding traffic and parking fines,Yes,The Washington Post
"Armed with $1 million, John King launches group to address systemic racism",Yes,The Washington Post
Judge grants Indonesian immigrant arrested at Md. church a temporary reprieve from deportation,Yes,The Washington Post
"Homicide reported in Upper Northwest, D.C. police say",Yes,The Washington Post
D.C.-area forecast: Phenomenally good weather through Friday,Yes,The Washington Post
How musician Stephane Detchou would spend a perfect day in D.C.,Yes,The Washington Post
Can a divorced woman claim ownership of a home she once owned with her deceased ex-husband?,Yes,The Washington Post
"Four-bedroom, two-bathroom house in Upper Marlboro, Md., lists for $368,500",Yes,The Washington Post
Global markets rebound after Trump signals optimism on coronavirus recovery,Yes,The Washington Post
Still haven’t gotten your stimulus payment? Here’s why you may not get it until 2021 — or at all.,Yes,The Washington Post
U.S. exporters struggle to gain ground as global recession remains severe,Yes,The Washington Post
"Beautiful, perk-filled and mostly empty: What the future holds for tech’s billion-dollar headquarters",Yes,The Washington Post
I got an inept diagnosis for a neurological problem. I’m a neurologist.,Yes,The Washington Post
"Fair skies, foul balls: How weather influences baseball",Yes,The Washington Post
Covid-19 makes us think about our mortality. Our brains aren’t built for that.,Yes,The Washington Post
1918 flu may have been aided by influx of cold air into Europe during WWI,Yes,The Washington Post
Jimmy Butler knocked the arrogance out of the Lakers and may have rescued these NBA Finals,Yes,The Washington Post
"What to know from NFL Week 4: As coronavirus looms, Cowboys struggle and Odell Beckham stars",Yes,The Washington Post
How awful is the NFC East? The Eagles’ first win put them in first place.,Yes,The Washington Post
"Tom Brady throws five touchdowns in win, Dak Prescott’s big game wasted in NFL Week 4",Yes,The Washington Post
"Washington loses to Ravens, 31-17, drops to 1-3 on the season",Yes,The Washington Post
Ron Rivera’s cancer fight is bigger than football. His example benefits us all.,Yes,The Washington Post
Founder of the free-spirited fashion house Kenzo dies at 81,Yes,The Washington Post
This White House can’t be trusted to be truthful about Trump’s health,Yes,The Washington Post
"In this chaotic pandemic, I weave together some type of order by restoring old chairs",Yes,The Washington Post
Carolyn Hax: Boyfriend’s drinking is a dealbreaker,Yes,The Washington Post
Ask Amy: Friend is worried about pal’s abusive marriage,Yes,The Washington Post
Miss Manners: Correcting behavior without wasting your time,Yes,The Washington Post
Some U.S. employers are finally offering paid parental leave. Working moms with kids at home say they’re afraid to use it.    ,Yes,The Washington Post
Here’s how I create safe spaces for myself and other Black women,Yes,The Washington Post
SNL premiere does not hold back on jokes about Trump’s coronavirus diagnosis: ‘It’s almost too funny’,Yes,The Washington Post
A sweet potato and mushroom quesadilla-pizza mash-up that’ll surprise you,Yes,The Washington Post
Kamala Harris Outlines Bolshevik American Soviet Dream,No,Squib
Teflon Don in Twitter Roid Rage Rampage Crashes Dow,No,Squib
What the Hell Happened to the White House?,No,Squib
Why It’s Acceptable to Wish Death On People if You’re a Leftist,No,Squib
Xi Jinping Congratulates Trump on Contracting Chinese Virus,No,Squib
Brexit Strategy: Farage Must Not Endanger Conservative Votes,No,Squib
Jeremy Corbyn to Visit America to Teach Them About Good Quality...,No,Squib
Jo Swinson Wants to Be Prime Minister of the United States...,No,Squib
Unveiling Comrade Corbyn’s Soviet 10-Year-Plan,No,Squib
Was Rees-Mogg Correct in His Common Sense Comment About Grenfell?,No,Squib
Tactical Voting: Labour Voters Advised to Vote Conservative,No,Squib
McDonalds CEO Fired For Viciously Dipping McNugget in Sauce,No,Squib
Britain Deserves the Divine Punishment of a Marxist Corbyn Government,No,Squib
Labour Urging Students and Naturalised EU Citizens to Vote Five or...,No,Squib
October 31: Yesterday Was the Day That Never Was,No,Squib
Tribute to Eddie Van Halen RIP,No,Squib
Why It’s Acceptable to Wish Death On People if You’re a...,No,Squib
Meghan Markle Appealing to Trump to End Coronavirus Pandemic Because Her...,No,Squib
Archehole: Harry and Meghan Reveal New Money Making Venture,No,Squib
‘Grifters’ Remake Film Could be Modeled on Meghan Markle Says Director,No,Squib
BLM Doing to White People What the Nazis Did to Jews...,No,Squib
“Ve Vill Make You Obey!” Legal Action Against UK by EU,No,Squib
The Not So ‘Presidential’ Debate,No,Squib
Evidence Reveals US Representative Ilhan Omar Mass Voter Fraud,No,Squib
Americans Kill ISIS Leader For the Tenth Time,No,Squib
October 31: Boris Has Done an Amazing Job But It May...,No,Squib
Blood on Their Hands: Socialist Open Borders Encouraged Illegal Immigration 39...,No,Squib
Revealed: Gina Miller’s New Plot to Stop Brexit in General Election,No,Squib
SYRIA: Americans Showered With Gifts From Grateful Kurds,No,Squib
Prince William Worried About Harry,No,Squib
Bercow Speaker of the House Now More Powerful Than the Prime...,No,Squib
EU Peoples March: Thousands Communists March on Parliament,No,Squib
Brexit Betrayal: How Britons Forgot Their Past,No,Squib
STATE OF EMERGENCY: Boris You Must Now Act,No,Squib
Jockstrap Worn by Michelle Obama Among Rare Items Join Celebrity Auction,No,Squib
The Intricacies and Fantastic Habitual Mnemonic Confabulations of Experts,No,Squib
Arnold Schwarzenegger Takes Up Bricklaying Hobby,No,Squib
How to Compliment a Feminist,No,Squib
Tory EU Plotters All Promised Lucrative Positions in European Union to...,No,Squib
Barack Obama Wants Permission to Build Minarets on White House,No,Squib
Why BLM is Encouraging Shooting of Police Officers,No,Squib
2020 Election Update: Who’ll Be Our Next President?,No,Squib
Can Boris Get Brexit Deal Through Remainer Parliament?,No,Squib
Extinction Rebellion Members Facing Extinction,No,Squib
Are You Suffering From ‘Brexit Insanity Syndrome’?,No,Squib
The Quiet Before the Storm,No,Squib
"Hold Your Horses Boris, This is NOT Brexit!",No,Squib
The EU’s Utter Contempt For Democracy and Britain,No,Squib
WW3 UPDATE: Turks Move Into Syria,No,Squib
EPICA AWARDS DEADLINE EXTENDED,No,Squib
Experts: Government Needs to Adopt War Footing Over Brexit – STATE...,No,Squib
Snopes Debunked After FBI Raid,No,Squib
Charlie Sheen to Star in Platoon II,No,Squib
Henry Kissinger: “If You Can’t Hear the Drums of War You...,No,Squib
Obamacare Subtitle C-11 Section 2521,No,Squib
Trump Asks Daily Squib to Investigate Bidens,No,Squib
Verhofstadt Busts Haemorrhoids After Reading Boris Brexit Deal,No,Squib
Teflon Don Cites Civil War if Impeached,No,Squib
BREAKING: Boris Johnson Accused of Breathing on Female Journalist in 1994,No,Squib
Buttocks in the Air ‘Surrender Act’ Was Drafted by French and...,No,Squib
Anti-Democratic Deluded Remain MPs Surprised People are Angry,No,Squib
Henry Kissinger: “The Delightful Drums of War Beat Louder Every Day”,No,Squib
Britney Lost Virginity Late at 14,No,Squib
Thanks For Nothing Gordon Brown,No,Squib
Supreme Court Ruling: Illegal to Be British in Britain,No,Squib
EU House of Commons to Open Today,No,Squib
EU Infiltration Into UK Underestimated: Unelected Europhile Judges Take Over Government...,No,Squib
Greta Thunberg Climate Action – Global Warming Can Only Be Cured...,No,Squib
Councils Will Seize Homes After Owners Die Under Radical Plans Endorsed...,No,Squib
Daily Squib Interviews Left Wing Darling Justin Trudeau,No,Squib
Former PM David Cameron Summoned to Tower of London,No,Squib
Disgraceful Treatment of British PM by Luxembourg Scumbag,No,Squib
IRAN: “Weak Trump Sits Around Tweeting While Iran Laughs”,No,Squib
Anti-Democratic Liberal Democrats Urged to Change Party Name,No,Squib
Meghan Markle Proud of Her Pre-Op Teenage Years,No,Squib
Abraham Lincoln Was Half Black Historians Reveal,No,Squib
Dumb Britain,No,Squib
Paris Hilton Goes Souvenir Hunting in Rwanda,No,Squib
Palace Insiders: Meghan Markle Ordered the Queen Around,No,Squib
Verhofstadt: “The EU Empire Has to Constantly Expand or Die”,No,Squib
Saudi Oil Fields: Iranian Proxies Winning Victories With West,No,Squib
Visitor From Outer Space: The Strategic Engineer Behind Brexit,No,Squib
EU Soviet Comrade Cameron Returns,No,Squib
The Oracle Reveals General Election Victory Answer,No,Squib
High Treason: Theresa May Consulted With Foreign Governments Before Drafting Pro-EU...,No,Squib
EU Army: Kommandant Ursula von der Leyen at Your Service,No,Squib
Experts: Boris Needs Utmost Secrecy to Succeed in October 31 Brexit,No,Squib
BREAKING: Guyanese Meddler Gina Miller Loses Court Action to Stop Parliament...,No,Squib
Does it Matter Who Wins a General Election When a Corrupt...,No,Squib
Robert Mugabe Praised Britain’s Corrupt Parliament For Stopping Brexit Before He...,No,Squib
"Oiks, Vagabonds, Chavs, Socialists, Marxists, Angry Scots, Angry Sikhs, an Assortment...",No,Squib
Tony Blair and European Union Behind Final Phase to Shut Down...,No,Squib
Exposing and Coercing Remainer Tory Rebels to Act is Genius Tactic,No,Squib
The Queen Does Not Have to Sign a Remainer Bill Trying...,No,Squib
Soros and EU Funded ‘Scientists For EU’ Responsible For Organising Mass...,No,Squib
List of Quisling Conservative MPs Who Will Never See the Inside...,No,Squib
Workers in China Discover Thousands of Sealed #Coronavirus Corpses in Body...,No,Squib
Meghan Markle: “Let them eat banana”,No,Squib
Scientists Breed First Ever Miniature Great White Sharks,No,Squib
Constitutional Experts: Why UK Parliament is Dumping Democracy to Align Itself...,No,Squib
The Exploding Optimistic Whirlwind of Boris Johnson,No,Squib
Boris Needs to Join Forces With Brexit Party,No,Squib
Kommie Huq Goes Insane Over Brexit on Live TV,No,Squib
Comrade Corbyn: “No Deal Nightmare of Massive Trade Deals and Business...,No,Squib
October 31 Here We Come,No,Squib
The Terrible Hell of Being a Remainer,No,Squib
Parliament Should Have Safeguards Against Rogue Corrupt Speakers of the House,No,Squib
Terry Wogan: “Looks Like David Icke Was Right All Along”,No,Squib
Nostradamus Obama Prophecies Revealed,No,Squib
Muslim Rage Could Be Bottled And Used to Create Electrical Power,No,Squib
Einstein’s Theory of Fuzzy Slippers Discovered,No,Squib
Proroguing is Constitutional: Everyone Needs to Calm Down Now,No,Squib
REMOANERS: If You Hate Democracy So Much Go and Live in...,No,Squib
Huzzah! God Bless the Queen,No,Squib
Anti-Democratic Remainer MPs See the Wrath of the Balls of Johnson,No,Squib
Epica Awards Launches PR Grand Prix,No,Squib
Harry and Meghan Visit to RAF Base Brings Cheer,No,Squib
Meet the Man Responsible For No Deal Brexit – Donald Tusk,No,Squib
Remoaners Preparing For Brexit,No,Squib
THINK TANK: Western LGBTQP Agenda Must Be Accepted in Third World...,No,Squib
Trump: “Now I Want to Buy Somalia”,No,Squib
Verhofstadt Cowers Under Table After Auntie Widdecombe Bollocking,No,Squib
"Over 100,000 Coronavirus Infected as China Hastily Buries Dead in Mass...",No,Squib
Meghan Markle Planning to Run For U.S. President 2024,No,Squib
Elton John Pays £7.50 Carbon Offset For Meghan Harry Jets,No,Squib
“Appalled” Prince Andrew Visited Epstein Manhattan Mansion to Play Game of...,No,Squib
Brexit Begins: Signing of Commencement Order to Repeal European Communities Act...,No,Squib
"This is Not About Brexit Any More, it is About Democracy",No,Squib
Haw Haw Hammond and 20 Saboteur Tories Collaborate With Corbyn Bolshevik...,No,Squib
Neutral Speaker John Bercow Vows to Block Brexit – ‘I will...,No,Squib
China Preparing to Make Hong Kong the Next Tibet,No,Squib
Lights Out!,No,Squib
Experts: How the Obstinate EU Shot Itself In the Foot,No,Squib
Bishop Proposes Working Brothel to Entice People into Cathedral,No,Squib
EPICA AWARDS JUROR PUBLISHES HOLLYWOOD MEMOIR,No,Squib
Man Blows Brains Out at Britain’s Got Talent Show,No,Squib
New Study Reveals Junk Food Good for You,No,Squib
Intelligence: China Encouraging BLM ANTIFA Rioters Across U.S. Cities,No,Squib
Beer and board games night ruined by beer and board games,No,Beaverton
Jason Kenney furious that throne speech didn’t contain a single poem praising the oil industry,No,Beaverton
Local man camps out overnight to be first in line for COVID test,No,Beaverton
Straw man is idiot,No,Beaverton
"""Scientists confused, concerned after local man finishes spring mix salad pack before it gets gross""",No,Beaverton
"“The extra C stands for Canada,” says newly christened Cconservative Party""",No,Beaverton
Man with 200% household debt could run Canada a lot better,No,Beaverton
BREAKING: Archaeologists uncover the ballot that killed Adolf Hitler,No,Beaverton
Local highschooler thinks new wallet chain will prove he’s not fucking around this year,No,Beaverton
Egregious: Health Canada refuses to approve Dr. Cornelius Phineus Jedidiah’s Magic COVID Elixir,No,Beaverton
Man with eyepatch tired of people assuming he’s interesting,No,Beaverton
Wretched old man brings you trash you asked for,No,Beaverton
White man brags about how diverse Toronto is to his group of white friends,No,Beaverton
Strategic Voting succeeds in preventing any real change to system,No,Beaverton
Every person working at Polling Station even older than the last,No,Beaverton
"""Please don’t make me risk getting COVID to teach, especially that prick Noah""",No,Beaverton
Thousands of rich Canadians who also pay zero dollars in tax glance around nervously,No,Beaverton
Feminist win! Supreme Court nominee who thinks women aren’t people is a woman!,No,Beaverton
"""Trump team insists President paid “$750.000,000” in taxes in 2016""",No,Beaverton
Newly engaged couple posts Jimmy Hoffa-level mystery instead of just saying “We’re engaged”,No,Beaverton
"9,Trump tax return reveals he’s on CERB",No,Beaverton
"""Ontario, Quebec temporarily granted US statehood so Canadians don’t look bad due to COVID-19 cases""",No,Beaverton
Torontonians hope cold weather flattens curve of shitty outdoor stand-up comedians,No,Beaverton
Shredder refuses to denounce Foot Clan,No,Beaverton
5 ways to suggest an open marriage that all end in divorce,No,Beaverton
Group of 14 drinking together at bar claim they are part of same 10 person bubble,No,Beaverton
"“I don’t think the COVID second wave will be so bad,” says man who will be primary cause of third wave""",No,Beaverton
Saskatchewan judge sentences another drunk driver to run for provincial office,No,Beaverton
"8,Experts say new limits on social gatherings a great way to exclude that loser Greg",No,Beaverton
Trump writes off debate loss on taxes,No,Beaverton
Woman reports home yoga not the same when person’s butt not in face,No,Beaverton
Toronto police warn those breaking quarantine will be issued a stern selfie,No,Beaverton
Fuming Donald Trump tells Putin vaccine didn’t work,No,Beaverton
Trudeau mobilizes troops to border in response to Rick Moranis attack,No,Beaverton
Global security threat infects global security threat,No,Beaverton
Experts say new limits on social gatherings a great way to exclude that loser Greg,No,Beaverton
Bankrupt Trump kicked out of Walter Reed after health insurance declined,No,Beaverton
Ford encourages families to spend Thanksgiving together by getting jobs at same indoor restaurant,No,Beaverton
Sick teachers are a small price to pay to get me the hell away from the horrible kids I made by choice,No,Beaverton
The WE scandal proves that charities fucking suck at doing crimes,No,Beaverton
Fine I’ll wear a mask but I want people to see my new nose job,No,Beaverton
"“I don’t like him, but I gotta say Ford has risen to the occasion” says man to his dead grandmother",No,Beaverton
Friend asking if you’re doing Sober October this year can fuck all the way off,No,Beaverton
"Jason Kenney calls Alberta’s bountiful harvest a ‘godsend,’ oddly cagey about which god",No,Beaverton
"As Gay Twitter reclaims #ProudBoys hashtag, Proud Boys change name to “Leather Men”",No,Beaverton
Breaking: Stanley Cup won 6 days ago,No,Beaverton
4 Ways To Gently Explain To Your Kids That Grandma Threw Herself Into The Lion Habitat At The Zoo And Moaned With Pleasure As They Tore At Her Flesh,No,Click Hole
Can You Help Keith Urban Write A Song About The Beach Tailgate Party He Was At When He Found Out Steve Jobs Died?,No,Click Hole
A Career Cut Short: Bryce Harper Has Quit Baseball Because He Says One Of The Cardboard Cutout Fans Called Him A ‘Fat Boy’,No,Click Hole
Education FTW: 5 Creative Ways Teachers Can Still Punish Misbehaving Children During Remote Learning,No,Click Hole
"A Silver Lining To Covid: After Months Of Decreased Pollution With Humans In Lockdown, Gorilla Populations Are Starting To Develop Rudimentary Nuclear Weapons",No,Click Hole
